placekey,sg_c__parent_placekey,sg_c__location_name,sg_c__safegraph_brand_ids,sg_c__brands,sg_c__top_category,sg_c__sub_category,sg_c__naics_code,sg_c__latitude,sg_c__longitude,sg_c__street_address,sg_c__city,sg_c__region,sg_c__postal_code,sg_c__iso_country_code,sg_c__phone_number,sg_c__open_hours,sg_c__category_tags,sg_c__opened_on,sg_c__closed_on,sg_c__tracking_closed_since,sg_c__geometry_type
222-222@3b4-6mw-f2k,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110,64.738315,-155.490717,9998 Wildberry Rd,Ruby,AK,99768,US,19074684414,"{ ""Mon"": [[""9:30"", ""13:00""]], ""Tue"": [[""9:30"", ""13:00""]], ""Wed"": [[""9:30"", ""13:00""]], ""Thu"": [[""9:30"", ""13:00""]], ""Fri"": [[""9:30"", ""13:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@3bh-2bh-j35,,Glacier D,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,59.608003,-151.438679,3789 Homer Spit Rd,Homer,AK,99603,US,19072357148,,"Burgers,Fish & Chips,Mexican Food",,,7/1/19,POLYGON
222-222@3bt-br8-6x5,,George M Sullivan Generation Plant 2,,,"Electric Power Generation, Transmission and Distribution",Fossil Fuel Electric Power Generation,221112,61.229868,-149.718253,8700 Starview Dr,Anchorage,AK,99504,US,,,,,,7/1/19,POLYGON
222-222@3bt-by5-jsq,,Koot's,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,61.198135,-149.90468,2435 Spenard Rd,Anchorage,AK,99503,US,,"{ ""Mon"": [[""10:30"", ""24:00""]], ""Tue"": [[""0:00"", ""2:30""], [""10:30"", ""24:00""]], ""Wed"": [[""0:00"", ""2:30""], [""10:30"", ""24:00""]], ""Thu"": [[""0:00"", ""2:30""], [""10:30"", ""24:00""]], ""Fri"": [[""0:00"", ""2:30""], [""10:30"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""10:30"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""]] }","Bar or Pub,Late Night",,,7/1/19,POLYGON
222-222@3bt-bzz-59f,,Fairview Elementary,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,61.209837,-149.855258,1327 Nelchina St,Anchorage,AK,99501,US,,,,,,7/1/19,POLYGON
222-222@3bt-bzz-g49,,Fourth Ave Boutique,,,Clothing Stores,Women's Clothing Stores,448120,61.218385,-149.872541,610 E 4th Ave,Anchorage,AK,99501,US,19072774425,"{ ""Mon"": [[""13:30"", ""19:00""]], ""Tue"": [[""13:30"", ""19:00""]], ""Wed"": [[""13:30"", ""19:00""]], ""Thu"": [[""13:30"", ""19:00""]], ""Fri"": [[""13:30"", ""19:00""]], ""Sat"": [[""11:00"", ""18:00""]], ""Sun"": [[""14:00"", ""17:00""]] }",,,,7/1/19,POLYGON
222-222@3bt-gdz-td9,,Adonia,,,Clothing Stores,Women's Clothing Stores,448120,61.328232,-149.56421,17034 N Eagle River Loop Rd,Eagle River,AK,99577,US,19079522973,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""11:00"", ""16:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@3bt-gxc-qmk,,Brett Memorial Ice Arena,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,61.586227,-149.431187,746 E Bogard Rd,Wasilla,AK,99654,US,,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""18:00""]], ""Fri"": [[""9:30"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@3f4-s5w-jn5,,Andy's Smoking,,,Other Miscellaneous Store Retailers,Tobacco Stores,453991,64.847503,-147.705198,201 Old Steese Hwy,Fairbanks,AK,99701,US,19073743040,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""14:00"", ""20:00""]] }",,,,7/1/19,POLYGON
222-222@3f4-scs-whq,zzw-222@3f4-scs-x89,Budget Rent A Car,SG_BRAND_33fdab5dc995faeef38615470f3999f7,Budget Rent A Car,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,64.817248,-147.868699,6450 Airport Way Ste 6,South Van Horn,AK,99709,US,19074740855,"{ ""Mon"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]], ""Tue"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]], ""Wed"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]], ""Thu"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]], ""Fri"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]], ""Sat"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]], ""Sun"": [[""0:00"", ""1:45""], [""6:30"", ""24:00""]] }",,,,3/3/20,POLYGON
