date_range_start,date_range_end,placekey,sg_wp__parent_placekey,sg_wp__location_name,sg_wp__street_address,sg_wp__city,sg_wp__region,sg_wp__postal_code,sg_wp__iso_country_code,sg_wp__safegraph_brand_ids,sg_wp__brands,sg_wp__date_range_start,sg_wp__date_range_end,sg_wp__raw_visit_counts,sg_wp__raw_visitor_counts,sg_wp__visits_by_day,sg_wp__visits_by_each_hour,sg_wp__poi_cbg,sg_wp__visitor_home_cbgs,sg_wp__visitor_home_aggregation,sg_wp__visitor_daytime_cbgs,sg_wp__visitor_country_of_origin,sg_wp__distance_from_home,sg_wp__median_dwell,sg_wp__bucketed_dwell_times,sg_wp__related_same_day_brand,sg_wp__related_same_week_brand,sg_wp__device_type,sg_wp__normalized_visits_by_state_scaling,sg_wp__normalized_visits_by_total_visits,sg_wp__normalized_visits_by_total_visitors,sg_wp__normalized_visits_by_region_naics_visits,sg_wp__normalized_visits_by_region_naics_visitors
4/6/20,4/13/20,222-222@3bh-zvc-d35,,Soldotna Professional Pharmacy,299 N Binkley St,Soldotna,AK,99669,US,,,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,33,28,"[8,9,6,4,5,1,0]","[0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",21220005003,"{""021220007005"":4,""021220005002"":4,""021220007001"":4}","{""02122000500"":10,""02122000700"":6,""02122000400"":4,""02185000300"":4}","{""021220004001"":4,""021220005002"":4,""021220005004"":4,""021220005003"":4,""021220008001"":4,""021220006005"":4,""021220007002"":4}","{""US"":23}",7902,10,"{""<5"":4,""5-10"":13,""11-20"":6,""21-60"":7,""61-120"":2,""121-240"":0,"">240"":1}","{""Fred Meyer"":24,""Fred Meyer Jewelers"":14,""Dairy Queen"":10,""Safeway Pharmacy"":10,""Three Bears Alaska"":7,""Petco"":3,""Walmart"":3,""Chevron"":3,""Pita Pit"":3,""Taco Bell"":3,""NAPA Auto Parts"":3,""Ford Motor Company"":3,""Carpet One Floor & Home"":3,""Wells Fargo"":3,""U-Haul"":3,""AutoZone"":3}","{""Fred Meyer"":54,""Fred Meyer Jewelers"":21,""Safeway Pharmacy"":21,""Walmart"":18,""Three Bears Alaska"":14,""Taco Bell"":11,""Dairy Queen"":11,""Petco"":7,""Chevron"":7,""Pita Pit"":7,""The Home Depot"":7,""Safeway"":7,""Papa John's"":7,""United States Postal Service (USPS)"":7,""McDonald's"":7,""Quality Inn"":7,""Papa Murphy's"":4,""Quick Lane"":4,""NAPA Auto Parts"":4,""The Salvation Army"":4}","{""android"":16,""ios"":5}",,,,,
4/6/20,4/13/20,222-222@3bk-j6j-fpv,,St Mary's School,2932 Mill Bay Rd,Kodiak,AK,99615,US,,,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,2,2,"[0,1,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",21500002003,{},{},{},"{""US"":4}",,4,"{""<5"":2,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":4}",,,,,
4/6/20,4/13/20,222-222@3bt-br6-789,zzw-222@3bt-br6-73q,Olive Garden,1186 N Muldoon Rd,Anchorage,AK,99504,US,SG_BRAND_29e52fe03f73e6ce21a527123c4d97b0,Olive Garden,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,29,27,"[1,7,3,5,3,6,4]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0]",20200004001,"{""020200003001"":7,""020200001013"":5,""021700005022"":4,""020200004001"":4,""020200017311"":4}","{""02020000300"":8,""02170000705"":4,""02020000102"":4,""02020001731"":4}","{""020200003001"":7,""020200017024"":4,""020200009012"":4,""021700005022"":4}","{""US"":24}",4378,10,"{""<5"":1,""5-10"":16,""11-20"":9,""21-60"":2,""61-120"":1,""121-240"":0,"">240"":0}","{""Target"":14,""Walmart"":7,""Lowe's"":7,""Fred Meyer"":7,""Starbucks"":7,""Raising Cane's"":7,""Shell Oil"":7,""Chevron"":4,""Goodwill Industries"":4,""CARQUEST Auto Parts"":4,""Holiday Station"":4,""Fred Meyer Jewelers"":4,""Kohl's"":4,""Panda Express"":4,""Top Fitnes"":4,""Smashburger"":4,""Sally Beauty Supply"":4,""Guitar Center"":4}","{""Walmart"":41,""Fred Meyer"":19,""Target"":15,""Chevron"":15,""Lowe's"":15,""Holiday Station"":15,""Taco Bell"":11,""Costco"":11,""Panda Express"":11,""McDonald's"":11,""Shell Oil"":11,""Sonic"":7,""Goodwill Industries"":7,""Starbucks"":7,""Carrs"":7,""Raising Cane's"":7,""United States Postal Service (USPS)"":7,""Cabela's"":4,""Three Bears Alaska"":4,""CARQUEST Auto Parts"":4}","{""android"":11,""ios"":14}",,,,,
4/6/20,4/13/20,222-222@3bt-byd-ks5,,GCI Store,2800 C St,Anchorage,AK,99503,US,,,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,16,12,"[4,2,2,3,2,3,0]","[0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",20200019001,"{""020200014002"":4,""020200009022"":4,""020200020003"":4}","{""02020002201"":4}","{""020200008024"":4,""020200009021"":4}","{""US"":9}",2139,10,"{""<5"":1,""5-10"":8,""11-20"":2,""21-60"":2,""61-120"":1,""121-240"":2,"">240"":0}","{""Walmart"":20,""Rodda Paint"":13,""Raising Cane's"":13,""United States Postal Service (USPS)"":13,""Johnstone Supply"":7,""Graybar"":7,""Holiday Station"":7,""Papa John's"":7,""Hyatt House"":7,""Fred Meyer Jewelers"":7,""Qdoba Mexican Grill"":7,""Walgreens"":7,""Dairy Queen"":7,""Panda Express"":7,""Carl's Jr."":7,""Texas Roadhouse"":7,""Lithia Auto Stores"":7,""Marriott Hotels"":7}","{""Walmart"":33,""Holiday Station"":33,""Chevron"":25,""Walgreens"":25,""Fred Meyer"":17,""Starbucks"":17,""Fred Meyer Jewelers"":17,""Costco"":17,""United States Postal Service (USPS)"":17,""Target"":8,""Johnstone Supply"":8,""Rodda Paint"":8,""The Salvation Army"":8,""KFC"":8,""Graybar"":8,""Allstate Insurance"":8,""Brown Jug"":8,""Wingstop"":8,""Papa John's"":8,""Mack Trucks"":8}","{""android"":6,""ios"":7}",,,,,
4/6/20,4/13/20,222-222@3bt-byd-v9f,,Staybridge Suites,200 Calais Dr,Anchorage,AK,99503,US,SG_BRAND_45b0d5fc3ce65a34ccc73e2849a1e881,Staybridge Suites,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,75,13,"[12,7,9,10,14,16,7]","[0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,3,1,2,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,3,1,0,1,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0]",20200019001,"{""020200007011"":5,""160050016032"":4,""191530102033"":4}","{""02122001000"":4}","{""530330284024"":5,""020900013001"":4,""020200007011"":4,""020200023034"":4,""020200007022"":4,""021220010001"":4}","{""US"":17}",194833,75,"{""<5"":0,""5-10"":7,""11-20"":7,""21-60"":19,""61-120"":13,""121-240"":16,"">240"":13}","{""Walmart"":38,""Taco Bell"":6,""Chevron"":3,""Lowe's"":3,""Holiday Station"":3,""Enterprise Rent-A-Car"":3,""Burger King"":3,""McDonald's"":3,""Crowne Plaza Hotels and Resorts"":3,""Shell Oil"":3,""Outback Steakhouse"":3,""Arby's"":3}","{""Walmart"":85,""Chevron"":15,""Fred Meyer"":15,""Holiday Station"":15,""Fred Meyer Jewelers"":15,""Home2 Suites"":15,""McDonald's"":15,""Crowne Plaza Hotels and Resorts"":15,""Shell Oil"":15,""Arby's"":15,""Canada Post"":8,""Papa Murphy's"":8,""Four Points By Sheraton"":8,""Taco Bell"":8,""Lowe's"":8,""The Home Depot"":8,""Buffalo Wild Wings"":8,""Starbucks"":8,""Carrs"":8,""Enterprise Rent-A-Car"":8}","{""android"":10,""ios"":4}",,,,,
4/6/20,4/13/20,222-222@3bt-byj-q4v,,Bridges Counseling Connections,8717 Dimond D Cir,Anchorage,AK,99515,US,,,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,6,5,"[3,1,0,1,1,0,0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",20200027121,"{""020200004001"":4,""020200028213"":4}","{""02020002812"":4}","{""020200027124"":4,""020200017312"":4,""020200027121"":4}","{""US"":6}",3834,76,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":2,""61-120"":2,""121-240"":2,"">240"":0}","{""McDonald's"":20,""Holiday Station"":20,""Komatsu"":20}","{""Walmart"":40,""Goodwill Industries"":20,""MK Battery Distribution Center"":20,""PetSmart"":20,""Holiday Station"":20,""McDonald's"":20,""Komatsu"":20}","{""android"":0,""ios"":4}",,,,,
4/6/20,4/13/20,222-222@3bt-byp-52k,,Chevron,2200 W Dimond Blvd,Anchorage,AK,99515,US,SG_BRAND_0a1e9bfcb49a6541809c358da5cb205c,Chevron,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,98,86,"[10,11,17,17,18,16,9]","[0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,1,0,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1,3,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,2,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,1,1,0,1,0]",20200027125,"{""020200027124"":8,""020200023023"":7,""020200023031"":6,""020200023011"":6,""020200027114"":6,""020200027125"":5,""020200027113"":4,""020200023034"":4,""020200023013"":4,""020200022021"":4,""020200027022"":4,""020200023035"":4}","{""02020002712"":16,""02020002303"":14,""02020002711"":13,""02020002301"":9,""02020002501"":4,""02020002000"":4,""02020002702"":4,""02020001602"":4,""02020002302"":4}","{""020200027112"":6,""020200023011"":6,""020200027125"":6,""020200023035"":5,""020200027124"":5,""020200016021"":4,""020200027114"":4,""020200025023"":4,""020200006001"":4,""020200023031"":4,""021700007032"":4,""020200020004"":4,""021220005003"":4,""020200023023"":4,""020200027022"":4,""020200027113"":4}","{""US"":78,""TH"":4}",2003,9,"{""<5"":5,""5-10"":52,""11-20"":18,""21-60"":17,""61-120"":0,""121-240"":3,"">240"":3}","{""Holiday Station"":13,""Fred Meyer Jewelers"":11,""McDonald's"":9,""Fred Meyer"":8,""Starbucks"":6,""Target"":5,""Walmart"":4,""Papa Murphy's"":3,""The Home Depot"":3,""Costco"":3,""Walgreens"":3,""United States Postal Service (USPS)"":3,""Shell Oil"":3,""Taco Bell"":2,""Sonic"":1,""Habitat for Humanity ReStore"":1,""Goodwill Industries"":1,""GoWireless"":1,""Staybridge Suites"":1,""Domino's Pizza"":1}","{""Fred Meyer Jewelers"":28,""McDonald's"":27,""Holiday Station"":24,""Fred Meyer"":23,""Starbucks"":20,""Walmart"":17,""Target"":13,""Walgreens"":12,""Taco Bell"":9,""Costco"":9,""Papa Murphy's"":7,""Lowe's"":6,""The Home Depot"":6,""United States Postal Service (USPS)"":6,""Shell Oil"":5,""Carrs"":3,""Raising Cane's"":3,""Subway"":3,""Arby's"":3,""Dodge"":2}","{""android"":25,""ios"":60}",,,,,
4/6/20,4/13/20,222-222@3bt-bzz-fs5,,Mammoth Musical Instruments,500 E 5th Ave,Anchorage,AK,99501,US,,,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,8,8,"[2,1,1,0,1,3,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",20200010002,{},"{""02170001004"":4,""02020002712"":4}","{""020200028122"":4,""021700010041"":4}","{""US"":7}",10389,12.5,"{""<5"":2,""5-10"":2,""11-20"":2,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":1}","{""Sheraton Hotels & Resorts"":13,""Brown Jug"":13,""Fred Meyer"":13,""Starbucks"":13,""TownePlace Suites by Marriott"":13,""Fred Meyer Jewelers"":13,""Motel 6"":13,""Costco"":13,""YWCA"":13,""Sportsman's Warehouse"":13}","{""The Home Depot"":38,""McDonald's"":38,""Walmart"":25,""Holiday Station"":25,""Starbucks"":25,""Costco"":25,""Sheraton Hotels & Resorts"":13,""Chevron"":13,""Goodwill Industries"":13,""Plato's Closet"":13,""Brown Jug"":13,""Fred Meyer"":13,""Buffalo Wild Wings"":13,""Carrs"":13,""TownePlace Suites by Marriott"":13,""Benihana"":13,""Fred Meyer Jewelers"":13,""O'Reilly Auto Parts"":13,""Motel 6"":13,""Wells Fargo"":13}","{""android"":4,""ios"":4}",,,,,
4/6/20,4/13/20,222-222@3f4-s5x-6kz,,Mt McKinley Bank,500 4th Ave,Fairbanks,AK,99701,US,,,2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,1,1,"[0,0,0,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",20900001001,{},{},{},{},,201,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":1,"">240"":0}",{},{},"{""android"":0,""ios"":0}",,,,,
4/6/20,4/13/20,222-222@3f4-sfk-fvf,,United States Postal Service (USPS),755 Fairbanks St,College,AK,99709,US,SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),2020-04-06T00:00:00-08:00,2020-04-13T00:00:00-08:00,63,28,"[9,11,10,12,9,10,2]","[0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",20900008001,"{""020200017313"":5,""022200002004"":4,""020900015005"":4,""020900009001"":4}","{""02090000800"":9,""02090000900"":5,""02090001900"":4,""02090001300"":4,""02090000500"":4}","{""020900009001"":4,""020900007003"":4,""020900013003"":4,""020900019005"":4}","{""US"":27}",6066,20,"{""<5"":3,""5-10"":18,""11-20"":14,""21-60"":9,""61-120"":8,""121-240"":11,"">240"":0}","{""Fred Meyer Jewelers"":15,""Chevrolet"":11,""Buick"":11,""GMC (General Motors Company)"":11,""Lithia Auto Stores"":11,""Fred Meyer"":9,""Walmart"":6,""Holiday Station"":6,""Costco"":6,""Sourdough Fuel"":4,""Toyota"":2,""Fresenius Kidney Care"":2,""Honda"":2,""Safeway Fuel Station"":2,""Pita Pit"":2,""Taco Bell"":2,""The Salvation Army"":2,""Concentra"":2,""Brown Jug"":2,""Subaru"":2}","{""Fred Meyer Jewelers"":36,""Fred Meyer"":32,""Holiday Station"":18,""Costco"":18,""Walmart"":14,""Safeway"":11,""McDonald's"":11,""Safeway Fuel Station"":7,""Sourdough Fuel"":7,""Taco Bell"":7,""John Deere"":7,""Toyota"":4,""Fresenius Kidney Care"":4,""Chevrolet"":4,""Honda"":4,""Quick Lane"":4,""Chevron"":4,""Pita Pit"":4,""Lowe's"":4,""The Salvation Army"":4}","{""android"":11,""ios"":15}",,,,,
